spoke_id,spoke_name,spoke_type,nearest_candidate_hub_id,nearest_candidate_hub_name,nearest_candidate_hub_level,nearest_candidate_hub_ownership,nearest_candidate_hub_subregion,nearest_candidate_distance_km,nearest_candidate_distance_band,nearest_candidate_service_score,nearest_candidate_readiness
SPOKE_0071,Gombe HOSPITAL,existing_nbs,HF0052,Gombe HOSPITAL,General Hospital,Government,SOUTH BUGANDA,0,0_to_25_km,2,partial_hub_score_2
SPOKE_0072,Gulu Regional Referal Hospital,existing_nbs,HF2067,Gulu Regional Referal Hospital,RR Hospital,Government,ACHOLI,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0073,Hoima REGIONAL REF HOSPITAL,existing_nbs,HF2566,Hoima REGIONAL REF HOSPITAL,RR Hospital,Government,BUNYORO,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0075,Iganga HOSPITAL,existing_nbs,HF1166,Iganga HOSPITAL,General Hospital,Government,BUSOGA,0,0_to_25_km,4,full_hub_score_4
SPOKE_0076,Kaberamaido HC IV,existing_nbs,HF1269,Kaberamaido HC IV,HC IV,Government,TESO,0,0_to_25_km,0,not_ready_score_0
SPOKE_0078,Kagando HOSPITAL,existing_nbs,HF2891,Kagando HOSPITAL,General Hospital,Private Not For Profit,TORO,0,0_to_25_km,3,strong_hub_score_3
SPOKE_0079,Kalagala HC IV,existing_nbs,HF0376,Kalagala HC IV,HC IV,Government,NORTH BUGANDA,0,0_to_25_km,2,partial_hub_score_2
SPOKE_0080,Kalisizo HOSPITAL,existing_nbs,HF0777,Kalisizo HOSPITAL,General Hospital,Government,SOUTH BUGANDA,0,0_to_25_km,4,full_hub_score_4
SPOKE_0081,Kalongo Ambrosoli Memorial HOSPITAL,existing_nbs,HF1831,Kalongo Ambrosoli Memorial HOSPITAL,General Hospital,Private Not For Profit,ACHOLI,0,0_to_25_km,4,full_hub_score_4
SPOKE_0083,Kamuli HOSPITAL,existing_nbs,HF1312,Kamuli HOSPITAL,General Hospital,Government,BUSOGA,0,0_to_25_km,4,full_hub_score_4
SPOKE_0084,Kamuli Mission Hospital,existing_nbs,HF1313,Kamuli Mission Hospital,General Hospital,Private Not For Profit,BUSOGA,0,0_to_25_km,3,strong_hub_score_3
SPOKE_0086,Kangulumira HC IV,existing_nbs,HF0298,Kangulumira HC IV,HC IV,Government,NORTH BUGANDA,0,0_to_25_km,2,partial_hub_score_2
SPOKE_0088,Kassanda HC IV,existing_nbs,HF0608,Kassanda HC IV,HC IV,Government,NORTH BUGANDA,0,0_to_25_km,0,not_ready_score_0
SPOKE_0089,Katakwi General Hospital,existing_nbs,HF1375,Katakwi General Hospital,General Hospital,Government,TESO,0,0_to_25_km,3,strong_hub_score_3
SPOKE_0091,Kawolo HOSPITAL,existing_nbs,HF0007,Kawolo HOSPITAL,General Hospital,Government,NORTH BUGANDA,0,0_to_25_km,3,strong_hub_score_3
SPOKE_0092,Kayunga Hospital,existing_nbs,HF0304,Kayunga Hospital,General Hospital,Government,NORTH BUGANDA,0,0_to_25_km,4,full_hub_score_4
SPOKE_0093,Kiboga HOSPITAL,existing_nbs,HF0327,Kiboga HOSPITAL,General Hospital,Government,NORTH BUGANDA,0,0_to_25_km,3,strong_hub_score_3
SPOKE_0094,Kibuku HC IV,existing_nbs,HF1405,Kibuku HC IV,HC IV,Government,BUKEDI,0,0_to_25_km,1,weak_hub_score_1
SPOKE_0095,Kibuli HOSPITAL,existing_nbs,HF0203,Kibuli HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,0,0_to_25_km,3,strong_hub_score_3
SPOKE_0096,Kidera HC IV,existing_nbs,HF1147,Kidera HC IV,HC IV,Government,BUSOGA,0,0_to_25_km,2,partial_hub_score_2
