scenario,scenario_label,spoke_id,spoke_name,spoke_type,existing_nbs,collocated_candidate_nbs,matched_facility_id,matched_facility_level,matched_district,point_longitude,point_latitude,hub_id,assigned_hub_name,assigned_hub_level,assigned_hub_ownership,assigned_hub_subregion,longitude,latitude,assigned_distance_km,assigned_distance_band,route_feasibility,route_feasibility_group,route_priority_flag,weak_or_long_route,long_route,very_long_route,cl_binary,hu_binary,nbs_binary,tr_binary,hub_service_score,hub_service_deficit,hub_readiness,assigned_hub_readiness_group,catchment_population,scd_admissions,scd_deaths,hbs_mean,pfpr_mean
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0098,Kigandalo HC IV,existing_nbs,1,0,HF1515,HC IV,MAYUGE,33.62108,0.38962,HF1515,Kigandalo HC IV,HC IV,Government,BUSOGA,33.62108,0.38962,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,1,0,1,0,2,0.5,partial_hub_score_2,partial_hub,215196,0,0,0.095305,0.343323
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0100,Kiryandongo HOSPITAL,existing_nbs,1,0,HF3019,General Hospital,KIRYANDONGO,32.06175,1.8786,HF3019,Kiryandongo HOSPITAL,General Hospital,Government,BUNYORO,32.06175,1.8786,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,0,0,1,1,2,0.5,partial_hub_score_2,partial_hub,284372,727,19,0.091085,0.308277
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0103,Kitgum HOSPITAL,existing_nbs,1,0,HF2124,General Hospital,KITGUM,32.88092,3.29792,HF2124,Kitgum HOSPITAL,General Hospital,Government,ACHOLI,32.88092,3.29792,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,150715,629,5,0.080921,0.41065
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0104,Kitgum HOSPITAL,existing_nbs,1,0,HF2124,General Hospital,KITGUM,32.88092,3.29792,HF2124,Kitgum HOSPITAL,General Hospital,Government,ACHOLI,32.88092,3.29792,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,150715,629,5,0.080921,0.41065
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0106,Koboko Hospital,existing_nbs,1,0,HF2145,General Hospital,KOBOKO,30.95937,3.40942,HF2145,Koboko Hospital,General Hospital,Government,WEST NILE,30.95937,3.40942,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,1,0,0,1,2,0.5,partial_hub_score_2,partial_hub,251072,711,12,0.04834,0.206661
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0113,Lubaga HOSPITAL,existing_nbs,1,0,HF0281,General Hospital,KAMPALA,32.551622,0.30797,HF0281,Lubaga HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,32.551622,0.30797,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,0,1,1,3,0.25,strong_hub_score_3,strong_hub,594380,383,4,0.074318,0.099582
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0115,Lwala HOSPITAL,existing_nbs,1,0,HF1276,General Hospital,KABERAMAIDO,33.27758,1.86232,HF1276,Lwala HOSPITAL,General Hospital,Private Not For Profit,TESO,33.27758,1.86232,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,0,0,1,1,2,0.5,partial_hub_score_2,partial_hub,119681,864,11,0.073597,0.302355
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0117,Lyantonde HOSPITAL,existing_nbs,1,0,HF0465,General Hospital,LYANTONDE,31.15287,-0.39364,HF0465,Lyantonde HOSPITAL,General Hospital,Government,SOUTH BUGANDA,31.15287,-0.39364,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,130642,65,0,0.042619,0.127183
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0122,Mengo HOSPITAL,existing_nbs,1,0,HF0282,General Hospital,KAMPALA,32.55999,0.31306,HF0282,Mengo HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,32.55999,0.31306,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,0,1,3,0.25,strong_hub_score_3,strong_hub,291689,724,3,0.074779,0.096856
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0124,Mityana HOSPITAL,existing_nbs,1,0,HF0550,General Hospital,MITYANA,32.04131,0.3978,HF0550,Mityana HOSPITAL,General Hospital,Government,NORTH BUGANDA,32.04131,0.3978,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,0,0,1,1,2,0.5,partial_hub_score_2,partial_hub,129409,226,7,0.065065,0.133276
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0126,Mubende RR HOSPITAL,existing_nbs,1,0,HF0650,RR Hospital,MUBENDE,31.39248,0.56742,HF0650,Mubende RR HOSPITAL,RR Hospital,Government,NORTH BUGANDA,31.39248,0.56742,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,0,1,1,3,0.25,strong_hub_score_3,strong_hub,250907,0,0,0.053702,0.191425
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0134,Nakaseke HOSPITAL,existing_nbs,1,0,HF0718,General Hospital,NAKASEKE,32.39886,0.71746,HF0718,Nakaseke HOSPITAL,General Hospital,Government,NORTH BUGANDA,32.39886,0.71746,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,70751,173,6,0.076875,0.183391
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0135,Nakasongola HC IV,existing_nbs,1,0,HF0752,HC IV,NAKASONGOLA,32.466485,1.324991,HF0752,Nakasongola HC IV,HC IV,Government,NORTH BUGANDA,32.466485,1.324991,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,0,0,1,1,2,0.5,partial_hub_score_2,partial_hub,39471,304,2,0.086272,0.237672
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0155,Serere HC IV,existing_nbs,1,0,HF1643,HC IV,SERERE,33.45971,1.52179,HF1643,Serere HC IV,HC IV,Government,TESO,33.45971,1.52179,0,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,1,1,0,0,2,0.5,partial_hub_score_2,partial_hub,269660,0,0,0.089136,0.315287
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0159,St. Francis Nsambya HOSPITAL,existing_nbs,1,0,HF0204,General Hospital,KAMPALA,32.585,0.3017,HF0204,St. Francis Nsambya HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,32.585,0.3017,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,0,1,1,3,0.25,strong_hub_score_3,strong_hub,181515,601,12,0.077156,0.087914
primary_score_ge_2,"Primary hubs, service score >=2",SPOKE_0167,Tororo General HOSPITAL,existing_nbs,1,0,HF1752,General Hospital,TORORO,34.187079,0.697967,HF1752,Tororo General HOSPITAL,General Hospital,Government,BUKEDI,34.187079,0.697967,0,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,42651,2472,25,0.090214,0.200315
