scenario,scenario_label,spoke_id,spoke_name,spoke_type,existing_nbs,collocated_candidate_nbs,matched_facility_id,matched_facility_level,matched_district,point_longitude,point_latitude,hub_id,assigned_hub_name,assigned_hub_level,assigned_hub_ownership,assigned_hub_subregion,longitude,latitude,assigned_distance_km,assigned_distance_band,route_feasibility,route_feasibility_group,route_priority_flag,weak_or_long_route,long_route,very_long_route,cl_binary,hu_binary,nbs_binary,tr_binary,hub_service_score,hub_service_deficit,hub_readiness,assigned_hub_readiness_group,catchment_population,scd_admissions,scd_deaths,hbs_mean,pfpr_mean
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0025,Padibe West HC III,collocated_candidate_nbs,0,1,HF2192,HC III,LAMWO,32.81643,3.4872,HF2190,Padibe HC IV,HC IV,Government,ACHOLI,32.827148,3.475195,1.783,within_25_km,unclassified,unclassified,review,FALSE,FALSE,FALSE,1,0,0,0,1,0.75,weak_hub_score_1,weak_hub,46874,0,0,0.074921,0.391912
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0133,Naguru  Hospital  - China Uganda Friendship,existing_nbs,1,0,HF0264,RR Hospital,KAMPALA,32.60657,0.32898,HF0203,Kibuli HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,32.595073,0.313056,2.176,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,0,1,1,3,0.25,strong_hub_score_3,strong_hub,71046,17,1,0.076874,0.085271
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0143,Ngora Gvt HC IV,existing_nbs,1,0,HF1595,HC IV,NGORA,33.80532,1.49346,HF1591,Ngora Ngo HOSPITAL,General Hospital,Private Not For Profit,TESO,33.7934,1.47733,2.222,within_25_km,unclassified,unclassified,review,FALSE,FALSE,FALSE,0,0,0,1,1,0.75,weak_hub_score_1,weak_hub,100774,307,3,0.088829,0.367768
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0162,St. Matia Mulumba HC III,existing_nbs,1,0,HF0614,HC III,MUBENDE,31.66396,0.457,HF0615,Kiganda HC IV,HC IV,Government,NORTH BUGANDA,31.68427,0.44964,2.403,within_25_km,unclassified,unclassified,review,FALSE,FALSE,FALSE,1,0,0,0,1,0.75,weak_hub_score_1,weak_hub,183110,0,0,0.05969,0.169031
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0102,Kiswa HC III,existing_nbs,1,0,HF0256,HC II,KAMPALA,32.616703,0.323407,HF0203,Kibuli HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,32.595073,0.313056,2.665,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,0,1,1,3,0.25,strong_hub_score_3,strong_hub,71046,17,1,0.076874,0.085271
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0074,Hope Clinic Lukuli HC II,existing_nbs,1,0,HF0188,Clinic,KAMPALA,32.60038,0.27986,HF0204,St. Francis Nsambya HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,32.585,0.3017,2.959,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,0,1,1,3,0.25,strong_hub_score_3,strong_hub,181515,601,12,0.077156,0.087914
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0119,Makindye Police HC III,existing_nbs,1,0,HF0215,HC III,KAMPALA,32.61758,0.26183,HF0253,Murchison Bay HOSPITAL,General Hospital,Government,KAMPALA,32.633478,0.283601,2.987,within_25_km,unclassified,unclassified,review,FALSE,FALSE,FALSE,0,0,0,1,1,0.75,weak_hub_score_1,weak_hub,40079,0,0,0.080231,0.105567
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0018,Ober HC III,collocated_candidate_nbs,0,1,HF2230,HC III,LIRA,32.87364,2.25697,HF2206,Lira REGIONAL REF HOSPITAL,RR Hospital,Government,LANGO,32.90135,2.25553,3.085,within_25_km,unclassified,unclassified,review,FALSE,FALSE,FALSE,0,0,0,1,1,0.75,weak_hub_score_1,weak_hub,90097,3698,26,0.097593,0.383429
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0118,Magala HC III,existing_nbs,1,0,HF0551,HC III,MITYANA,32.06745,0.38688,HF0550,Mityana HOSPITAL,General Hospital,Government,NORTH BUGANDA,32.04131,0.3978,3.15,within_25_km,partial,partial_linkage,strengthen_assigned_hub,TRUE,FALSE,FALSE,0,0,1,1,2,0.5,partial_hub_score_2,partial_hub,129409,226,7,0.065065,0.133276
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0128,Mulagi HC III,existing_nbs,1,0,HF1122,HC III,BUTALEJA,33.9079,0.87428,HF1125,Busolwe HOSPITAL,General Hospital,Government,BUKEDI,33.928311,0.852506,3.309,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,1,1,4,0,full_hub_score_4,full_hub,195701,679,11,0.093691,0.219096
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0090,Kawempe Home Care Initiative CLINIC,existing_nbs,1,0,HF0160,Clinic,KAMPALA,32.56146,0.36205,HF0118,Kololo HOSPITAL,General Hospital,Private For Profit,KAMPALA,32.588224,0.336823,4.08,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,0,1,1,3,0.25,strong_hub_score_3,strong_hub,243967,711,12,0.077403,0.095929
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0099,Kiruddu,existing_nbs,1,0,HF0216,NR Hospital,KAMPALA,32.61274,0.24828,HF0253,Murchison Bay HOSPITAL,General Hospital,Government,KAMPALA,32.633478,0.283601,4.535,within_25_km,unclassified,unclassified,review,FALSE,FALSE,FALSE,0,0,0,1,1,0.75,weak_hub_score_1,weak_hub,40079,0,0,0.080231,0.105567
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0107,Kumi HC IV,existing_nbs,1,0,HF1419,HC IV,KUMI,33.97501,1.530615,HF1431,Kumi NGO HOSPITAL,General Hospital,Private Not For Profit,TESO,34.00482,1.55895,4.562,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,0,1,1,3,0.25,strong_hub_score_3,strong_hub,21091,92,10,0.074611,0.419525
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0114,Lufuka Valley HC III,existing_nbs,1,0,HF0946,HC III,WAKISO,32.56815,0.26008,HF0204,St. Francis Nsambya HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,32.585,0.3017,4.968,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,0,1,1,3,0.25,strong_hub_score_3,strong_hub,181515,601,12,0.077156,0.087914
treatment_any_hu_cl_tr,"Treatment-any hubs, HU or CL or TR",SPOKE_0132,Nabweru HC III,existing_nbs,1,0,HF0928,HC III,WAKISO,32.54516,0.35724,HF0282,Mengo HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,32.55999,0.31306,5.155,within_25_km,functional,stronger_linkage,standard_linkage,FALSE,FALSE,FALSE,1,1,0,1,3,0.25,strong_hub_score_3,strong_hub,291689,724,3,0.074779,0.096856
