spoke_id,candidate_facility_id,candidate_distance_km,spoke_name,spoke_type,assigned_hub_id,assigned_hub_name,assigned_distance_km,route_feasibility,facility_name,facility_level,ownership,subregion,longitude,latitude,cl_binary,hu_binary,nbs_binary,tr_binary,hub_service_score,hub_service_deficit,hub_readiness,eligible_primary_hub
SPOKE_0130,HF1734,21.7,Nabiganda HC III,existing_nbs,HF0998,Budaka HC IV,9.864,partial,Nagongera HC IV,HC IV,Government,BUKEDI,34.024967,0.772335,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0158,HF0966,19.5,St. Francis Acumet HC III,existing_nbs,HF0975,Kapelebyong HC IV,11.312,partial,Amuria HC IV,HC IV,Government,TESO,33.64034,2.03481,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0116,HF0039,20.5,Lwengo Kinoni HC III GOVT,existing_nbs,HF0854,Bamu HOSPITAL,12.652,partial,Butenga HC IV,HC IV,Government,SOUTH BUGANDA,31.67238,-0.19553,1,0,0,0,1,0.75,weak_hub_score_1,FALSE
SPOKE_0116,HF0429,15.7,Lwengo Kinoni HC III GOVT,existing_nbs,HF0854,Bamu HOSPITAL,12.652,partial,Kiwangala HC IV,HC IV,Government,SOUTH BUGANDA,31.51589,-0.47508,1,1,0,0,2,0.5,partial_hub_score_2,TRUE
SPOKE_0116,HF0446,16.8,Lwengo Kinoni HC III GOVT,existing_nbs,HF0854,Bamu HOSPITAL,12.652,partial,Lwengo HC IV,HC IV,Government,SOUTH BUGANDA,31.44103,-0.43718,1,0,0,0,1,0.75,weak_hub_score_1,FALSE
SPOKE_0116,HF0494,19.9,Lwengo Kinoni HC III GOVT,existing_nbs,HF0854,Bamu HOSPITAL,12.652,partial,Masaka REGIONAL REF HOSPITAL,RR Hospital,Government,SOUTH BUGANDA,31.7344,-0.3294,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0076,HF1269,0,Kaberamaido HC IV,existing_nbs,HF2019,Dokolo HC IV,15.64,partial,Kaberamaido HC IV,HC IV,Government,TESO,33.16359,1.77863,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0029,HF2211,22,Abako-Elim HC II,existing_nbs,HF1868,Alebtong HC IV,16.159,partial,Amach HC IV,HC IV,Government,LANGO,33.00555,2.11163,1,0,0,0,1,0.75,weak_hub_score_1,FALSE
SPOKE_0065,HF1207,15,Buwenge HC IV,existing_nbs,HF0298,Kangulumira HC IV,17.083,partial,Budondo HC IV,HC IV,Government,BUSOGA,33.16165,0.51725,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0065,HF1209,22.1,Buwenge HC IV,existing_nbs,HF0298,Kangulumira HC IV,17.083,partial,Bugembe HC IV,HC IV,Government,BUSOGA,33.23708,0.46433,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0065,HF1234,0.6,Buwenge HC IV,existing_nbs,HF0298,Kangulumira HC IV,17.083,partial,Buwenge NGO Hospital,General Hospital,Private Not For Profit,BUSOGA,33.17278,0.64781,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0065,HF1246,24.4,Buwenge HC IV,existing_nbs,HF0298,Kangulumira HC IV,17.083,partial,Walukuba HC IV,HC IV,Government,BUSOGA,33.22508,0.43824,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0065,HF1249,21.8,Buwenge HC IV,existing_nbs,HF0298,Kangulumira HC IV,17.083,partial,Mpumudde HC IV,HC IV,Government,BUSOGA,33.21235,0.45993,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0065,HF1250,21,Buwenge HC IV,existing_nbs,HF0298,Kangulumira HC IV,17.083,partial,Kakira Worker's HOSPITAL,General Hospital,Private For Profit,BUSOGA,33.29428,0.50921,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0065,HF1322,10.7,Buwenge HC IV,existing_nbs,HF0298,Kangulumira HC IV,17.083,partial,Nankandulo HC IV,HC IV,Government,BUSOGA,33.07762,0.67919,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0065,HF1475,22,Buwenge HC IV,existing_nbs,HF0298,Kangulumira HC IV,17.083,partial,Kiyunga HC IV,HC IV,Government,BUSOGA,33.33111,0.76647,1,0,0,0,1,0.75,weak_hub_score_1,FALSE
