spoke_id,candidate_facility_id,candidate_distance_km,spoke_name,spoke_type,assigned_hub_id,assigned_hub_name,assigned_distance_km,route_feasibility,facility_name,facility_level,ownership,subregion,longitude,latitude,cl_binary,hu_binary,nbs_binary,tr_binary,hub_service_score,hub_service_deficit,hub_readiness,eligible_primary_hub
SPOKE_0079,HF0680,14,Kalagala HC IV,existing_nbs,HF0376,Kalagala HC IV,0,partial,St. Francis HOSPITAL Naggalama,General Hospital,Private Not For Profit,KAMPALA,32.78198,0.52425,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0079,HF0873,17.8,Kalagala HC IV,existing_nbs,HF0376,Kalagala HC IV,0,partial,Buwambo HC IV,HC IV,Government,KAMPALA,32.54581,0.50131,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0079,HF0889,24.2,Kalagala HC IV,existing_nbs,HF0376,Kalagala HC IV,0,partial,Uganda Martyrs HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,32.653,0.37667,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0079,HF0921,23.6,Kalagala HC IV,existing_nbs,HF0376,Kalagala HC IV,0,partial,Saidina Abubakar Islamic HOSPITAL,General Hospital,Private Not For Profit,KAMPALA,32.53495,0.43534,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0079,HF0926,19.5,Kalagala HC IV,existing_nbs,HF0376,Kalagala HC IV,0,partial,Kasangati HC IV,HC IV,Government,KAMPALA,32.60107,0.43513,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0086,HF0022,24.3,Kangulumira HC IV,existing_nbs,HF0298,Kangulumira HC IV,0,partial,St. Francis Nyenga HOSPITAL,General Hospital,Private Not For Profit,NORTH BUGANDA,33.14065,0.39505,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0086,HF1207,16.3,Kangulumira HC IV,existing_nbs,HF0298,Kangulumira HC IV,0,partial,Budondo HC IV,HC IV,Government,BUSOGA,33.16165,0.51725,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0086,HF1234,17.2,Kangulumira HC IV,existing_nbs,HF0298,Kangulumira HC IV,0,partial,Buwenge NGO Hospital,General Hospital,Private Not For Profit,BUSOGA,33.17278,0.64781,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0086,HF1249,24.5,Kangulumira HC IV,existing_nbs,HF0298,Kangulumira HC IV,0,partial,Mpumudde HC IV,HC IV,Government,BUSOGA,33.21235,0.45993,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0086,HF1322,11.6,Kangulumira HC IV,existing_nbs,HF0298,Kangulumira HC IV,0,partial,Nankandulo HC IV,HC IV,Government,BUSOGA,33.07762,0.67919,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0098,HF1063,9.6,Kigandalo HC IV,existing_nbs,HF1515,Kigandalo HC IV,0,partial,Nankoma HC IV,HC IV,Government,BUSOGA,33.678343,0.454007,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0106,HF1994,22.5,Koboko Hospital,existing_nbs,HF2145,Koboko Hospital,0,partial,Omugo HC IV,HC IV,Government,WEST NILE,31.11511,3.27945,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0106,HF2445,24.9,Koboko Hospital,existing_nbs,HF2145,Koboko Hospital,0,partial,Yumbe Hospital,General Hospital,Government,WEST NILE,31.18113,3.43922,0,0,1,0,1,0.75,weak_hub_score_1,FALSE
SPOKE_0115,HF1269,15.7,Lwala HOSPITAL,existing_nbs,HF1276,Lwala HOSPITAL,0,partial,Kaberamaido HC IV,HC IV,Government,TESO,33.16359,1.77863,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0115,HF1688,20.7,Lwala HOSPITAL,existing_nbs,HF1276,Lwala HOSPITAL,0,partial,ATIRIR HC IV,HC IV,Government,TESO,33.45841,1.90514,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0124,HF0537,12.6,Mityana HOSPITAL,existing_nbs,HF0550,Mityana HOSPITAL,0,partial,Mwera HC IV,HC IV,Government,NORTH BUGANDA,32.12009,0.31608,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0124,HF0540,20.8,Mityana HOSPITAL,existing_nbs,HF0550,Mityana HOSPITAL,0,partial,Kyantungo HC IV,HC IV,Government,NORTH BUGANDA,32.02506,0.585167,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0124,HF0560,15.9,Mityana HOSPITAL,existing_nbs,HF0550,Mityana HOSPITAL,0,partial,Ssekanyonyi HC IV,HC IV,Government,NORTH BUGANDA,32.14177,0.50056,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0135,HF0741,8.1,Nakasongola HC IV,existing_nbs,HF0752,Nakasongola HC IV,0,partial,Nakasongola Military HOSPITAL,General Hospital,Government,NORTH BUGANDA,32.49771,1.39135,0,0,0,1,1,0.75,weak_hub_score_1,FALSE
SPOKE_0155,HF1629,18.8,Serere HC IV,existing_nbs,HF1643,Serere HC IV,0,partial,Apapai HC IV,HC IV,Government,TESO,33.29067,1.52954,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0160,HF0537,12.3,"St. Francis,  HC III",existing_nbs,HF0550,Mityana HOSPITAL,0.849,partial,Mwera HC IV,HC IV,Government,NORTH BUGANDA,32.12009,0.31608,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0160,HF0540,20.6,"St. Francis,  HC III",existing_nbs,HF0550,Mityana HOSPITAL,0.849,partial,Kyantungo HC IV,HC IV,Government,NORTH BUGANDA,32.02506,0.585167,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0160,HF0560,15.2,"St. Francis,  HC III",existing_nbs,HF0550,Mityana HOSPITAL,0.849,partial,Ssekanyonyi HC IV,HC IV,Government,NORTH BUGANDA,32.14177,0.50056,0,0,0,0,0,1,not_ready_score_0,FALSE
SPOKE_0118,HF0537,9.8,Magala HC III,existing_nbs,HF0550,Mityana HOSPITAL,3.15,partial,Mwera HC IV,HC IV,Government,NORTH BUGANDA,32.12009,0.31608,0,0,0,0,0,1,not_ready_score_0,FALSE
